time P_1 P_2 P_{tot}
2.370010000000000172e+00 -1.656225364530753141e-01 1.656225364530753141e-01 0.000000000000000000e+00
2.380009999999999959e+00 -1.646317764717850352e-01 1.646317764717850352e-01 0.000000000000000000e+00
2.390010000000000190e+00 -1.636469432559464476e-01 1.636469432559464476e-01 0.000000000000000000e+00
2.400009999999999977e+00 -1.626680013174784389e-01 1.626680013174784389e-01 0.000000000000000000e+00
2.410010000000000208e+00 -1.616949154497522856e-01 1.616949154497522856e-01 0.000000000000000000e+00
2.420009999999999994e+00 -1.607276506262177440e-01 1.607276506262177440e-01 0.000000000000000000e+00
2.430009999999999781e+00 -1.597661720339979829e-01 1.597661720339979829e-01 0.000000000000000000e+00
2.440010000000000012e+00 -1.588104450503745602e-01 1.588104450503745602e-01 0.000000000000000000e+00
2.450009999999999799e+00 -1.578604352548605150e-01 1.578604352548605150e-01 0.000000000000000000e+00
2.460010000000000030e+00 -1.569161084638966697e-01 1.569161084638966697e-01 0.000000000000000000e+00
2.470009999999999817e+00 -1.559774306848999148e-01 1.559774306848999148e-01 0.000000000000000000e+00
2.480010000000000048e+00 -1.550443681278201868e-01 1.550443681278201868e-01 0.000000000000000000e+00
2.490009999999999835e+00 -1.541168871871574364e-01 1.541168871871574364e-01 0.000000000000000000e+00
2.500010000000000066e+00 -1.531949544676965147e-01 1.531949544676965147e-01 0.000000000000000000e+00
2.510009999999999852e+00 -1.522785367860336192e-01 1.522785367860336192e-01 0.000000000000000000e+00
2.520010000000000083e+00 -1.513676011492658402e-01 1.513676011492658402e-01 0.000000000000000000e+00
2.530009999999999870e+00 -1.504621147598952380e-01 1.504621147598952380e-01 0.000000000000000000e+00
2.540010000000000101e+00 -1.495620450197663875e-01 1.495620450197663875e-01 0.000000000000000000e+00
2.550009999999999888e+00 -1.486673595240902979e-01 1.486673595240902979e-01 0.000000000000000000e+00
2.560010000000000119e+00 -1.477780260605468521e-01 1.477780260605468521e-01 0.000000000000000000e+00
2.570009999999999906e+00 -1.468940126138740809e-01 1.468940126138740809e-01 0.000000000000000000e+00
2.580010000000000137e+00 -1.460152873580569943e-01 1.460152873580569943e-01 0.000000000000000000e+00
2.590009999999999923e+00 -1.451418186586946046e-01 1.451418186586946046e-01 0.000000000000000000e+00
2.600010000000000154e+00 -1.442735750724228050e-01 1.442735750724228050e-01 0.000000000000000000e+00
2.610009999999999941e+00 -1.434105253419305226e-01 1.434105253419305226e-01 0.000000000000000000e+00
2.620010000000000172e+00 -1.425526383986495393e-01 1.425526383986495393e-01 0.000000000000000000e+00
2.630009999999999959e+00 -1.416998833605005448e-01 1.416998833605005448e-01 0.000000000000000000e+00
2.640010000000000190e+00 -1.408522295320155382e-01 1.408522295320155382e-01 0.000000000000000000e+00
2.650009999999999977e+00 -1.400096463999266905e-01 1.400096463999266905e-01 0.000000000000000000e+00
2.660010000000000208e+00 -1.391721036366614928e-01 1.391721036366614928e-01 0.000000000000000000e+00
2.670009999999999994e+00 -1.383395710962772029e-01 1.383395710962772029e-01 0.000000000000000000e+00
2.680009999999999781e+00 -1.375120187940365446e-01 1.375120187940365446e-01 0.000000000000000000e+00
