time P_D P_L P_R P_V P_{tot}
3.600010000000000154e+00 1.439598657153999817e-01 -1.862546472190652891e-01 4.229478150366530048e-02 -6.938893903907228378e-18 0.000000000000000000e+00
3.610009999999999941e+00 1.376518598027999807e-01 -1.763213179806973618e-01 3.866945817789735340e-02 -2.775557561562891351e-17 0.000000000000000000e+00
3.620010000000000172e+00 1.314066195421000061e-01 -1.666468229287983993e-01 3.524020338669840713e-02 1.387778780781445676e-17 0.000000000000000000e+00
3.630009999999999959e+00 1.252235204849999894e-01 -1.572254186128718700e-01 3.200189812787186672e-02 -1.387778780781445676e-17 0.000000000000000000e+00
3.640010000000000190e+00 1.191019443515999865e-01 -1.480514813890114745e-01 2.894953703741147064e-02 -1.734723475976807094e-17 0.000000000000000000e+00
3.650009999999999977e+00 1.130412789092999915e-01 -1.391195049040962195e-01 2.607822599479623152e-02 3.469446951953614189e-18 0.000000000000000000e+00
3.660010000000000208e+00 1.070409180476999955e-01 -1.304240979180967819e-01 2.338317987039679330e-02 6.938893903907228378e-18 0.000000000000000000e+00
3.670009999999999994e+00 1.011002617547999971e-01 -1.219599820137573093e-01 2.085972025895729831e-02 -1.387778780781445676e-17 0.000000000000000000e+00
3.680009999999999781e+00 9.521871606869999893e-02 -1.137219893131320575e-01 1.850327324443205856e-02 0.000000000000000000e+00 0.000000000000000000e+00
3.690010000000000012e+00 8.939569273389999515e-02 -1.057050598346629816e-01 1.630936710076298299e-02 -3.469446951953614189e-18 0.000000000000000000e+00
3.700009999999999799e+00 8.363060940710000113e-02 -9.790423967200392874e-02 1.427363026490392588e-02 -1.734723475976807094e-18 0.000000000000000000e+00
3.710010000000000030e+00 7.792288955710000020e-02 -9.031467877532041444e-02 1.239178921822041771e-02 3.469446951953614189e-18 0.000000000000000000e+00
3.720009999999999817e+00 7.227196257049998962e-02 -8.293162904762603482e-02 1.065966647712602612e-02 -1.908195823574487804e-17 0.000000000000000000e+00
3.730010000000000048e+00 6.667726324125999859e-02 -7.575044167667555062e-02 9.073178435396494351e-03 -1.905767210708120274e-14 0.000000000000000000e+00
3.740009999999999835e+00 6.113823206756999196e-02 -6.876656557847564410e-02 7.628333510914376940e-03 8.724791722425351281e-15 0.000000000000000000e+00
3.750010000000000066e+00 5.565431509462999415e-02 -6.197554527556112941e-02 6.321230180923185019e-03 -7.950237690401706914e-15 0.000000000000000000e+00
3.760009999999999852e+00 5.022496410483999474e-02 -5.537301924632047345e-02 5.148055141494829214e-03 1.435049995501813669e-14 0.000000000000000000e+00
3.770010000000000083e+00 4.484963606074000159e-02 -4.895471739701459657e-02 4.105081336287408518e-03 1.281353495530268560e-14 0.000000000000000000e+00
3.780009999999999870e+00 3.952779340131999664e-02 -4.271645962823530929e-02 3.188666226892728287e-03 -2.258436493374205156e-14 0.000000000000000000e+00
3.790010000000000101e+00 3.425890389998999946e-02 -3.665415389271641650e-02 2.395249992711735200e-03 -1.468183213892970684e-14 0.000000000000000000e+00
3.800009999999999888e+00 2.904244076649999465e-02 -3.076379457400135048e-02 1.721353807501348893e-03 -6.938893903907228378e-18 0.000000000000000000e+00
3.810010000000000119e+00 2.387788234194999915e-02 -2.504146043404724756e-02 1.163578092114301394e-03 1.705298229015550504e-14 0.000000000000000000e+00
3.820009999999999906e+00 1.876471211797000119e-02 -1.948331297688628283e-02 7.186008589189596223e-04 2.677979366039195952e-15 0.000000000000000000e+00
3.830010000000000137e+00 1.370241874021999907e-02 -1.408559482049789695e-02 3.831760802700658682e-04 -7.832005443492162655e-15 0.000000000000000000e+00
3.840009999999999923e+00 8.690496024909998354e-03 -8.844628108904186228e-03 1.541320839979112140e-04 3.723339995695407190e-15 0.000000000000000000e+00
3.850010000000000154e+00 3.728442831497999575e-03 -3.756812802819190899e-03 2.836997132193637449e-05 7.450501804048825782e-16 0.000000000000000000e+00
3.857590264290000182e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.867590264289999968e+00 -5.086419088510151729e-85 1.644088182264414142e-203 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
3.877590264290000199e+00 -5.086419088510151729e-85 -1.227549037747725872e-218 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
3.887590264289999986e+00 -5.086419088510151729e-85 5.657175124105052575e-219 5.086419088510151729e-85 0.000000000000000000e+00 0.000000000000000000e+00
