time	i_D	u_D	i_L	u_L	i_R	u_R	i_V	u_V
1.81001	1.27484001658e-40	-0.163654135582	0.836345864434	0.163654135386	0.836345864404	0.836345864404	-0.836345864419	1.
1.82001	2.13454064054e-40	-0.162025749778	0.837974250249	0.162025749451	0.837974250198	0.837974250198	-0.837974250223	1.
1.83001	3.04697195376e-40	-0.16041356667	0.839586433368	0.160413566203	0.839586433295	0.839586433295	-0.839586433331	1.
1.84001	3.8434742535e-40	-0.158817425023	0.841182575025	0.158817424434	0.841182574933	0.841182574933	-0.841182574979	1.
1.85001	4.44312771333e-40	-0.157237165203	0.842762834853	0.157237164522	0.842762834746	0.842762834746	-0.842762834799	1.
1.86001	4.58319130909e-40	-0.155672629223	0.844327370835	0.15567262852	0.844327370725	0.844327370725	-0.844327370779	1.
1.87001	4.1131115908e-40	-0.154123660626	0.845876339425	0.154123659996	0.845876339327	0.845876339327	-0.845876339376	1.
1.88001	2.90409849091e-40	-0.152590104502	0.847409895534	0.152590104057	0.847409895465	0.847409895465	-0.847409895499	1.
1.89001	7.84621122448e-41	-0.151071807492	0.848928192518	0.151071807371	0.848928192499	0.848928192499	-0.848928192509	1.
1.90001	-1.33896486605e-40	-0.149568617789	0.850431382194	0.149568617994	0.850431382226	0.850431382226	-0.85043138221	1.
1.91001	-2.44177257176e-40	-0.1480803851	0.851919614869	0.148080385474	0.851919614928	0.851919614928	-0.851919614899	1.
1.92001	-2.25693195195e-40	-0.1466069606	0.853393039372	0.146606960946	0.853393039426	0.853393039426	-0.853393039399	1.
1.93001	1.60653966252e-41	-0.145148196956	0.854851803046	0.145148196932	0.854851803042	0.854851803042	-0.854851803044	1.
1.94001	3.93924536875e-40	-0.143703948286	0.856296051763	0.143703947683	0.856296051669	0.856296051669	-0.856296051715	1.
1.95001	5.74342638724e-40	-0.142274070133	0.857725929938	0.142274069253	0.857725929801	0.857725929801	-0.857725929869	1.
1.96001	6.49777943836e-40	-0.140858419507	0.859141580574	0.140858418512	0.859141580419	0.859141580419	-0.859141580495	1.
1.97001	4.99032492453e-40	-0.139456854816	0.860543145246	0.139456854052	0.860543145127	0.860543145127	-0.860543145186	1.
1.98001	8.86198084101e-41	-0.138069235892	0.861930764119	0.138069235756	0.861930764098	0.861930764098	-0.861930764109	1.
1.99001	-9.26498039985e-41	-0.136695424072	0.863304575917	0.136695424214	0.863304575939	0.863304575939	-0.863304575928	1.
2.00001	-2.48709174531e-40	-0.135335281914	0.864664718055	0.135335282295	0.864664718114	0.864664718114	-0.864664718085	1.
2.01001	-3.00988948525e-40	-0.1339886734	0.866011326563	0.133988673861	0.866011326635	0.866011326635	-0.866011326599	1.
