time	y	v	a
3.59683232043	1.02502568968	5.19571177182	-9.81
3.60683232043	1.0764923074	5.09761177182	-9.81
3.61683232043	1.12697792511	4.99951177182	-9.81
3.62683232043	1.17648254283	4.90141177182	-9.81
3.63683232043	1.22500616055	4.80331177182	-9.81
3.64683232043	1.27254877826	4.70521177182	-9.81
3.65683232043	1.31911039598	4.60711177182	-9.81
3.66683232043	1.36469101369	4.50901177182	-9.81
3.67683232043	1.40929063141	4.41091177182	-9.81
3.68683232043	1.45290924913	4.31281177182	-9.81
3.69683232043	1.49554686684	4.21471177182	-9.81
3.70683232043	1.53720348456	4.11661177182	-9.81
3.71683232043	1.57787910228	4.01851177182	-9.81
3.72683232043	1.61757372	3.92041177182	-9.81
3.73683232043	1.65628733771	3.82231177182	-9.81
3.74683232043	1.69401995543	3.72421177182	-9.81
3.75683232043	1.73077157315	3.62611177182	-9.81
3.76683232043	1.76654219086	3.52801177182	-9.81
3.77683232043	1.80133180858	3.42991177182	-9.81
3.78683232043	1.8351404263	3.33181177182	-9.81
3.79683232043	1.86796804401	3.23371177182	-9.81
3.80683232043	1.89981466173	3.13561177182	-9.81
3.81683232043	1.93068027945	3.03751177182	-9.81
3.82683232043	1.96056489717	2.93941177182	-9.81
3.83683232043	1.98946851488	2.84131177182	-9.81
3.84683232043	2.0173911326	2.74321177182	-9.81
3.85683232043	2.04433275032	2.64511177182	-9.81
3.86683232043	2.07029336803	2.54701177182	-9.81
3.87683232043	2.09527298575	2.44891177182	-9.81
3.88683232043	2.11927160347	2.35081177182	-9.81
3.89683232043	2.14228922118	2.25271177182	-9.81
3.90683232043	2.1643258389	2.15461177182	-9.81
3.91683232043	2.18538145662	2.05651177182	-9.81
3.92683232043	2.20545607434	1.95841177182	-9.81
3.93683232043	2.22454969205	1.86031177182	-9.81
3.94683232043	2.24266230977	1.76221177182	-9.81
3.95683232043	2.25979392749	1.66411177182	-9.81
3.96683232043	2.27594454521	1.56601177182	-9.81
3.97683232043	2.29111416292	1.46791177182	-9.81
3.98683232043	2.30530278064	1.36981177182	-9.81
3.99683232043	2.31851039836	1.27171177182	-9.81
4.00683232043	2.33073701608	1.17361177182	-9.81
4.01683232043	2.34198263379	1.07551177182	-9.81
4.02683232043	2.35224725151	0.977411771824	-9.81
4.03683232043	2.36153086923	0.879311771824	-9.81
4.04683232043	2.36983348695	0.781211771824	-9.81
4.05683232043	2.37715510466	0.683111771824	-9.81
4.06683232043	2.38349572238	0.585011771824	-9.81
4.07683232043	2.3888553401	0.486911771824	-9.81
4.08683232043	2.39323395782	0.388811771824	-9.81
4.09683232043	2.39663157554	0.290711771824	-9.81
4.10683232043	2.39904819325	0.192611771824	-9.81
4.11683232043	2.40048381097	0.0945117718236	-9.81
4.12683232043	2.40093842869	-0.0035882281764	-9.81
4.13683232043	2.4004120464	-0.101688228176	-9.81
4.14683232043	2.39890466412	-0.199788228176	-9.81
