time	x	y	vx	vy	ax	ay	t
1.04001	2.38490649479	-1.81989894597	-5.33447401272	-6.99060111638	-25.2217861549	9.4364865509	?
1.05001	2.33030123828	-1.88931382848	-5.58649892652	-6.89043369435	-25.1732769547	10.5994662488	?
1.06001	2.27317936385	-1.95766860805	-5.83773742039	-6.77856983513	-25.0643263106	11.7753917685	?
1.07001	2.21355176391	-2.02484575768	-6.08757528698	-6.6548972407	-24.8929847557	12.9608215644	?
1.08001	2.15143546773	-2.09072681057	-6.33538254593	-6.5193379099	-24.6578823893	14.152224517	?
1.09001	2.08685394152	-2.15519269148	-6.58051407261	-6.37185371145	-24.3576853355	15.3452444428	?
1.10001	2.0198381989	-2.21812015089	-6.82229266006	-6.21244307212	-23.9912470703	16.5364224747	?
1.11001	1.95042575316	-2.27939002217	-7.06004818091	-6.04115415982	-23.557602336	17.7209005628	?
1.12001	1.87865576278	-2.33889541717	-7.29317082174	-5.85806686089	-23.0562065657	18.89459846	?
1.13001	1.80458048255	-2.39651212432	-7.52094472422	-5.66331351682	-22.4871099988	20.0532621258	?
1.14001	1.72825709809	-2.45212355105	-7.742688233	-5.45706869208	-21.8503189125	21.1921644512	?
1.15001	1.64974946301	-2.50561606165	-7.95772756254	-5.23955401742	-21.1463446165	22.3067683233	?
1.16001	1.56912793155	-2.55687826209	-8.1653945556	-5.01103560281	-20.3759482813	23.3923996121	?
1.17001	1.48646932918	-2.60580156833	-8.3650307211	-4.77182467117	-19.5403491341	24.4445015525	?
1.18001	1.40185708648	-2.65228074047	-8.55599139594	-4.52227802212	-18.6411687024	25.4586574491	?
1.19001	1.31538092127	-2.69621426726	-8.73764889871	-4.26279641021	-17.6801383138	26.4302717629	?
1.20001	1.22713713249	-2.73750511788	-8.90939865828	-3.993830154	-16.6599301088	27.3547534516	?
1.21001	1.13722808228	-2.77606111359	-9.07065851497	-3.71587143175	-15.5826300387	28.2283354682	?
1.22001	1.04576128278	-2.8117948337	-9.22087426541	-3.42945154701	-14.4514965159	29.0465178585	?
1.23001	0.952849929406	-2.84462470812	-9.35952486556	-3.13514405074	-13.2698223444	29.8055272883	?
1.23743972749	0.882935038893	-2.86704551244	-9.45457454692	-2.91162818767	-12.3610592988	30.3285398518	?
1.23745699018	0.882935038893	-2.86705532244	-9.45457454692	-2.91162818767	0.	-9.81	0.
1.24745699018	0.788389293424	-2.89666210497	-9.45457454692	-3.00972818767	0.	-9.81	0.01
1.25745699018	0.693843547955	-2.92724988693	-9.45457454692	-3.10782818767	0.	-9.81	0.02
1.26745699018	0.599297802486	-2.95881866886	-9.45457454692	-3.20592818767	0.	-9.81	0.03
1.27745699018	0.504752057017	-2.99136845076	-9.45457454692	-3.30402818767	0.	-9.81	0.04
1.28745699018	0.410206311547	-3.02489923267	-9.45457454692	-3.40212818767	0.	-9.81	0.05
1.29745699018	0.315660566078	-3.05941101457	-9.45457454692	-3.50022818767	0.	-9.81	0.06
1.30745699018	0.221114820609	-3.09490379646	-9.45457454692	-3.59832818767	0.	-9.81	0.07
1.31745699018	0.12656907514	-3.13137757836	-9.45457454692	-3.69642818767	0.	-9.81	0.08
1.32745699018	0.0320233296707	-3.16883236025	-9.45457454692	-3.79452818767	0.	-9.81	0.09
1.33745699018	-0.0625224157985	-3.20726814214	-9.45457454692	-3.89262818767	0.	-9.81	0.1
1.34745699018	-0.157068161268	-3.24668492403	-9.45457454692	-3.99072818767	0.	-9.81	0.11
1.35745699018	-0.251613906737	-3.28708270592	-9.45457454692	-4.08882818767	0.	-9.81	0.12
1.36745699018	-0.346159652206	-3.32846148781	-9.45457454692	-4.18692818767	0.	-9.81	0.13
1.37745699018	-0.440705397675	-3.37082126969	-9.45457454692	-4.28502818767	0.	-9.81	0.14
1.38745699018	-0.535251143145	-3.41416205158	-9.45457454692	-4.38312818767	0.	-9.81	0.15
1.39745699018	-0.629796888614	-3.45848383346	-9.45457454692	-4.48122818767	0.	-9.81	0.16
1.40745699018	-0.724342634083	-3.50378661535	-9.45457454692	-4.57932818767	0.	-9.81	0.17
1.41745699018	-0.818888379552	-3.55007039723	-9.45457454692	-4.67742818767	0.	-9.81	0.18
1.42745699018	-0.913434125021	-3.59733517912	-9.45457454692	-4.77552818767	0.	-9.81	0.19
1.43745699018	-1.00797987049	-3.645580961	-9.45457454692	-4.87362818767	0.	-9.81	0.2
1.44745699018	-1.10252561596	-3.69480774289	-9.45457454692	-4.97172818767	0.	-9.81	0.21
1.45745699018	-1.19707136143	-3.74501552477	-9.45457454692	-5.06982818767	0.	-9.81	0.22
